iter	MultiClass
0	1.586411206
1	1.556928108
2	1.531766884
3	1.5125095
4	1.489712622
5	1.471835294
6	1.44912496
7	1.432157783
8	1.410201503
9	1.387417157
10	1.370045106
11	1.352525818
12	1.33256387
13	1.313657393
14	1.298617406
15	1.277952226
16	1.260988182
17	1.243670272
18	1.227691987
19	1.210521614
20	1.192801758
21	1.174751321
22	1.158384862
23	1.140823981
24	1.123356676
25	1.106251302
26	1.092607333
27	1.075185672
28	1.058609601
29	1.044125319
30	1.029408116
31	1.01608664
32	1.004072294
33	0.9941204901
34	0.981766377
35	0.9671970131
36	0.95248443
37	0.9394542402
38	0.9291678213
39	0.9180093865
40	0.908699819
41	0.8953277684
42	0.8851063634
43	0.8731657906
44	0.8618194203
45	0.85023798
46	0.8374337746
47	0.8278445204
48	0.8179240477
49	0.8049508097
50	0.7956295739
51	0.7833182448
52	0.7734354373
53	0.7633904918
54	0.7551803369
55	0.7438736778
56	0.7357072074
57	0.7264088635
58	0.7174603698
59	0.7055803935
60	0.6956487864
61	0.6860626811
62	0.678487965
63	0.6688205045
64	0.6592030444
65	0.6530800574
66	0.6461660226
67	0.6384877603
68	0.6310948556
69	0.623198245
70	0.6142751884
71	0.6063529537
72	0.5977535655
73	0.5903827103
74	0.5829971493
75	0.5753414959
76	0.5676306892
77	0.5606790005
78	0.5556051855
79	0.5485365744
80	0.5412798457
81	0.53477011
82	0.5270777031
83	0.5201951654
84	0.5123605336
85	0.5066471084
86	0.5006367182
87	0.491954557
88	0.4858459439
89	0.4795330606
90	0.472596668
91	0.4669167788
92	0.4599119725
93	0.4529876606
94	0.4463635318
95	0.4410165823
96	0.4349661721
97	0.4293959648
98	0.4221015425
99	0.4157644029
100	0.4097514888
101	0.4037741481
102	0.397671466
103	0.3920901448
104	0.3870918663
105	0.382058885
106	0.3776529267
107	0.372684429
108	0.3687235268
109	0.3636345667
110	0.3585578121
111	0.3538727078
112	0.349463228
113	0.3450312834
114	0.3405131635
115	0.3358722088
116	0.3315600037
117	0.3272366546
118	0.3240274448
119	0.3200197871
120	0.3152194398
121	0.3119278499
122	0.308398088
123	0.3051127478
124	0.3018813974
125	0.2976887394
126	0.2944748145
