iter	Passed	Remaining
0	45	45300
1	82	40982
2	115	38498
3	149	37304
4	182	36389
5	217	35957
6	254	36125
7	288	35794
8	320	35328
9	353	34947
10	385	34667
11	421	34727
12	454	34544
13	492	34691
14	528	34700
15	562	34574
16	594	34402
17	632	34485
18	665	34336
19	698	34216
20	734	34240
21	771	34286
22	804	34159
23	840	34180
24	880	34343
25	925	34656
26	967	34870
27	1009	35036
28	1046	35034
29	1080	34934
30	1112	34778
31	1145	34642
32	1176	34483
33	1208	34339
34	1240	34190
35	1275	34159
36	1307	34039
37	1339	33906
38	1370	33779
39	1404	33715
40	1438	33647
41	1473	33607
42	1507	33544
43	1538	33423
44	1569	33314
45	1601	33205
46	1635	33159
47	1670	33125
48	1706	33119
49	1748	33213
50	1783	33188
51	1818	33160
52	1856	33172
53	1892	33152
54	1925	33080
55	1958	33020
56	1993	32976
57	2029	32959
58	2065	32946
59	2102	32931
60	2137	32899
61	2172	32867
62	2206	32813
63	2238	32731
64	2271	32667
65	2303	32595
66	2337	32550
67	2372	32513
68	2407	32486
69	2445	32492
70	2485	32518
71	2522	32515
72	2560	32511
73	2605	32606
74	2639	32555
75	2674	32521
76	2709	32475
77	2741	32401
78	2772	32325
79	2804	32251
80	2835	32169
81	2871	32141
82	2907	32122
83	2941	32072
84	2973	32006
85	3006	31948
86	3038	31883
87	3073	31852
88	3107	31810
89	3154	31894
90	3187	31835
91	3218	31763
92	3249	31689
93	3285	31668
94	3317	31599
95	3349	31539
96	3386	31529
97	3419	31474
98	3450	31405
99	3481	31337
100	3513	31274
101	3545	31211
102	3576	31145
103	3608	31086
104	3639	31019
105	3670	30961
106	3709	30958
107	3765	31103
108	3803	31089
109	3839	31066
110	3872	31012
111	3916	31054
112	3984	31275
113	4030	31326
114	4074	31354
115	4109	31320
116	4144	31280
117	4178	31230
118	4209	31167
119	4242	31109
120	4274	31052
121	4306	30994
122	4338	30934
123	4370	30874
124	4401	30813
125	4434	30758
126	4466	30702
127	4498	30647
128	4535	30620
129	4571	30594
130	4605	30552
131	4639	30511
132	4671	30453
133	4704	30401
134	4736	30350
135	4771	30312
136	4806	30279
137	4846	30272
138	4882	30242
139	4917	30207
140	4950	30158
141	4982	30107
142	5015	30060
143	5047	30004
144	5079	29953
145	5111	29898
146	5143	29848
147	5175	29794
148	5208	29745
149	5240	29695
150	5272	29642
151	5306	29603
152	5338	29553
153	5371	29505
154	5402	29454
155	5435	29406
156	5467	29358
157	5499	29308
158	5531	29257
159	5563	29206
160	5595	29158
161	5626	29106
162	5657	29052
163	5689	29000
164	5721	28953
165	5752	28900
166	5784	28851
167	5817	28808
168	5849	28764
169	5881	28717
170	5914	28673
171	5946	28625
172	5978	28581
173	6010	28534
174	6042	28487
175	6074	28440
176	6106	28392
177	6139	28350
178	6171	28307
179	6203	28261
180	6235	28214
181	6267	28167
182	6301	28133
183	6336	28102
184	6371	28070
185	6405	28033
186	6438	27991
187	6470	27947
188	6501	27899
189	6534	27857
190	6567	27815
191	6601	27781
192	6633	27738
193	6666	27695
194	6697	27649
195	6729	27606
196	6764	27572
197	6800	27544
198	6841	27537
199	6882	27530
200	6928	27542
201	6977	27565
202	7020	27565
203	7060	27550
204	7101	27539
205	7135	27501
206	7169	27467
207	7211	27458
208	7246	27426
209	7278	27380
210	7310	27336
211	7344	27299
212	7376	27253
213	7407	27208
214	7439	27161
215	7470	27115
216	7501	27069
217	7533	27024
218	7567	26987
219	7599	26943
220	7630	26896
221	7662	26854
222	7698	26822
223	7732	26787
224	7767	26754
225	7808	26743
226	7843	26709
227	7879	26678
228	7915	26650
229	7969	26678
230	8013	26675
231	8123	26890
232	8174	26910
233	8223	26918
234	8261	26895
235	8300	26869
236	8341	26854
237	8381	26833
238	8417	26802
239	8462	26797
240	8495	26754
241	8527	26711
242	8565	26683
243	8606	26664
244	8644	26638
245	8683	26615
246	8723	26593
247	8767	26585
248	8806	26560
249	8842	26528
250	8880	26500
251	8915	26464
252	8952	26432
253	8984	26387
254	9016	26343
255	9050	26302
256	9083	26260
257	9120	26229
258	9163	26216
259	9197	26178
260	9230	26136
261	9264	26095
262	9296	26052
263	9330	26011
264	9364	25972
265	9398	25933
266	9436	25907
267	9474	25879
268	9511	25847
269	9548	25817
270	9585	25785
271	9629	25773
272	9663	25735
273	9697	25695
274	9738	25674
275	9775	25643
276	9813	25614
277	9864	25618
278	9904	25596
279	9949	25585
280	9989	25561
281	10030	25538
282	10067	25507
283	10102	25470
284	10137	25433
285	10176	25406
286	10217	25384
287	10258	25360
288	10299	25339
289	10340	25316
290	10381	25292
291	10421	25268
292	10460	25241
293	10498	25209
294	10537	25182
295	10576	25153
296	10614	25124
297	10647	25082
298	10679	25038
299	10713	24997
300	10750	24965
301	10790	24939
302	10882	25032
303	10927	25019
304	10967	24991
305	11004	24958
306	11039	24918
307	11071	24874
308	11102	24828
309	11134	24783
310	11166	24739
311	11199	24695
312	11233	24657
313	11268	24617
314	11302	24578
315	11334	24533
316	11365	24487
317	11396	24441
318	11429	24398
319	11461	24356
320	11493	24311
321	11524	24265
322	11556	24222
323	11588	24178
324	11620	24134
325	11652	24091
326	11684	24047
327	11715	24003
328	11749	23962
329	11781	23919
330	11813	23877
331	11845	23834
332	11877	23790
333	11909	23746
334	11942	23705
335	11973	23662
336	12005	23618
337	12036	23575
338	12068	23532
339	12100	23489
340	12132	23446
341	12164	23403
342	12196	23361
343	12232	23326
344	12268	23291
345	12299	23247
346	12331	23205
347	12362	23161
348	12394	23119
349	12426	23077
350	12457	23034
351	12490	22993
352	12521	22950
353	12553	22908
354	12585	22866
355	12617	22824
356	12649	22782
357	12681	22740
358	12712	22699
359	12744	22657
360	12776	22615
361	12808	22574
362	12841	22534
363	12873	22492
364	12904	22450
365	12936	22409
366	12968	22368
367	13001	22328
368	13034	22289
369	13066	22247
370	13098	22206
371	13129	22164
372	13161	22123
373	13193	22083
374	13226	22043
375	13257	22001
376	13289	21960
377	13320	21918
378	13352	21878
379	13383	21836
380	13415	21796
381	13447	21754
382	13479	21715
383	13511	21674
384	13544	21635
385	13576	21595
386	13607	21554
387	13639	21514
388	13671	21473
389	13703	21434
390	13735	21393
391	13767	21353
392	13798	21312
393	13829	21271
394	13864	21235
395	13896	21195
396	13929	21157
397	13960	21116
398	13992	21076
399	14024	21036
400	14055	20995
401	14087	20955
402	14118	20915
403	14150	20876
404	14183	20836
405	14215	20798
406	14247	20759
407	14280	20720
408	14316	20687
409	14354	20656
410	14397	20633
411	14446	20618
412	14492	20598
413	14535	20573
414	14580	20553
415	14620	20524
416	14654	20488
417	14688	20451
418	14724	20417
419	14756	20378
420	14788	20338
421	14819	20298
422	14852	20259
423	14884	20220
424	14916	20180
425	14949	20142
426	14981	20103
427	15014	20066
428	15047	20028
429	15080	19990
430	15114	19953
431	15149	19918
432	15183	19881
433	15217	19846
434	15251	19809
435	15286	19774
436	15328	19748
437	15372	19724
438	15415	19699
439	15453	19668
440	15490	19635
441	15527	19602
442	15560	19564
443	15592	19525
444	15623	19486
445	15655	19446
446	15687	19407
447	15720	19369
448	15753	19331
449	15786	19294
450	15817	19254
451	15849	19216
452	15882	19177
453	15913	19137
454	15945	19099
455	15977	19060
456	16009	19022
457	16042	18984
458	16073	18944
459	16104	18905
460	16136	18866
461	16168	18828
462	16200	18789
463	16231	18750
464	16263	18711
465	16295	18673
466	16327	18634
467	16359	18596
468	16391	18558
469	16425	18522
470	16461	18488
471	16498	18456
472	16533	18421
473	16566	18383
474	16597	18345
475	16630	18307
476	16661	18268
477	16693	18230
478	16725	18191
479	16756	18152
480	16787	18114
481	16819	18075
482	16851	18037
483	16883	18000
484	16915	17961
485	16947	17924
